State,date,cases_mean_per_10k,cases_median_per_10k,cases_mode_per_10k,deaths_mean_per_10k,deaths_median_per_10k,deaths_mode_per_10k
AR,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
AR,2020-03-16,0.01245682455754288,0.0,0.0,0.0,0.0,0.0
AR,2020-03-23,0.2723850836765642,0.0,0.0,0.0,0.0,0.0
AR,2020-03-30,1.1749203697397175,0.3625421455244172,0.0,0.011310048072378984,0.0,0.0
AR,2020-04-06,2.304535627787152,1.3613191899434336,0.0,0.03805883435917656,0.0,0.0
AR,2020-04-13,3.8033086381576955,2.2581009371118888,0.0,0.07272649997789578,0.0,0.0
AR,2020-04-20,5.757822830670205,2.5796465884173867,0.0,0.12078572980684672,0.0,0.0
AR,2020-04-27,12.336799050464931,3.530060672917816,0.0,0.14843003948997416,0.0,0.0
AR,2020-05-04,15.393741717008602,5.456355972663657,0.0,0.23033352912483382,0.0,0.0
AR,2020-05-11,17.712460586792545,5.969258319653783,0.0,0.3318682499537547,0.0,0.0
AR,2020-05-18,20.598852802057422,6.71591672263264,0.0,0.36807838450942504,0.0,0.0
AR,2020-05-25,24.228109896641037,8.0041164027214,0.0,0.3992827902274447,0.0,0.0
AR,2020-06-01,27.82991087681211,9.665767919824999,0.0,0.44348368075444466,0.0,0.0
AR,2020-06-08,33.1543538547497,12.483528677439491,0.0,0.5160466555943735,0.0,0.0
AR,2020-06-15,43.654680595194,15.326026379342375,0.0,0.5903319412743636,0.0,0.0
AR,2020-06-22,54.6720240332186,19.12960306073649,0.0,0.7315836517595657,0.10061779325055843,0.0
AR,2020-06-29,65.49902267526244,25.089605734767026,0.0,0.8521268384067705,0.16334931434125305,0.0
AR,2020-07-06,77.01710985145355,31.70289855072464,14.267370523612499,0.9613500990366601,0.3911536686302581,0.0
