,Column,Sum
0,2020-01-22,1
1,2020-01-23,1
2,2020-01-24,1
3,2020-01-25,1
4,2020-01-26,1
5,2020-01-27,1
6,2020-01-28,1
7,2020-01-29,1
8,2020-01-30,1
9,2020-01-31,1
10,2020-02-01,1
11,2020-02-02,1
12,2020-02-03,1
13,2020-02-04,1
14,2020-02-05,1
15,2020-02-06,1
16,2020-02-07,2
17,2020-02-08,2
18,2020-02-09,2
19,2020-02-10,2
20,2020-02-11,2
21,2020-02-12,2
22,2020-02-13,2
23,2020-02-14,2
24,2020-02-15,2
25,2020-02-16,2
26,2020-02-17,2
27,2020-02-18,3
28,2020-02-19,3
29,2020-02-20,3
30,2020-02-21,3
31,2020-02-22,3
32,2020-02-23,3
33,2020-02-24,3
34,2020-02-25,3
35,2020-02-26,3
36,2020-02-27,3
37,2020-02-28,3
38,2020-02-29,4
39,2020-03-01,4
40,2020-03-02,9
41,2020-03-03,10
42,2020-03-04,14
43,2020-03-05,16
44,2020-03-06,20
45,2020-03-07,24
46,2020-03-08,27
47,2020-03-09,32
48,2020-03-10,37
49,2020-03-11,42
50,2020-03-12,47
51,2020-03-13,54
52,2020-03-14,65
53,2020-03-15,72
54,2020-03-16,101
55,2020-03-17,124
56,2020-03-18,170
57,2020-03-19,228
58,2020-03-20,274
59,2020-03-21,360
60,2020-03-22,465
61,2020-03-23,609
62,2020-03-24,834
63,2020-03-25,1126
64,2020-03-26,1442
65,2020-03-27,1846
66,2020-03-28,2402
67,2020-03-29,2853
68,2020-03-30,3526
69,2020-03-31,4459
70,2020-04-01,5536
71,2020-04-02,6827
72,2020-04-03,8209
73,2020-04-04,9630
74,2020-04-05,11150
75,2020-04-06,12705
76,2020-04-07,14843
77,2020-04-08,16940
78,2020-04-09,18948
79,2020-04-10,21463
80,2020-04-11,23944
81,2020-04-12,24976
82,2020-04-13,26234
83,2020-04-14,29288
84,2020-04-15,31712
85,2020-04-16,33952
86,2020-04-17,35999
87,2020-04-18,37483
88,2020-04-19,40050
89,2020-04-20,41888
90,2020-04-21,44624
91,2020-04-22,46620
92,2020-04-23,48442
93,2020-04-24,51141
94,2020-04-25,53124
95,2020-04-26,54321
96,2020-04-27,55719
97,2020-04-28,57944
98,2020-04-29,60534
99,2020-04-30,62621
100,2020-05-01,64424
101,2020-05-02,66035
102,2020-05-03,67511
103,2020-05-04,68514
104,2020-05-05,70969
105,2020-05-06,73523
106,2020-05-07,75598
107,2020-05-08,77264
108,2020-05-09,78785
109,2020-05-10,79717
110,2020-05-11,80680
111,2020-05-12,82290
112,2020-05-13,84014
113,2020-05-14,85753
114,2020-05-15,87180
115,2020-05-16,88359
116,2020-05-17,89215
117,2020-05-18,90290
118,2020-05-19,91797
119,2020-05-20,93251
120,2020-05-21,94568
121,2020-05-22,95777
122,2020-05-23,96888
123,2020-05-24,97625
124,2020-05-25,98399
125,2020-05-26,99085
126,2020-05-27,100450
127,2020-05-28,101628
128,2020-05-29,102860
129,2020-05-30,103717
130,2020-05-31,104339
131,2020-06-01,105073
132,2020-06-02,106295
133,2020-06-03,107283
134,2020-06-04,108255
135,2020-06-05,109350
136,2020-06-06,110131
137,2020-06-07,110589
138,2020-06-08,111212
139,2020-06-09,112156
140,2020-06-10,113037
141,2020-06-11,113883
142,2020-06-12,114649
143,2020-06-13,115439
144,2020-06-14,115851
145,2020-06-15,116310
146,2020-06-16,117058
147,2020-06-17,117826
148,2020-06-18,118505
149,2020-06-19,119264
150,2020-06-20,119869
151,2020-06-21,120217
152,2020-06-22,120632
153,2020-06-23,121473
154,2020-06-24,122223
155,2020-06-25,122864
156,2020-06-26,123546
157,2020-06-27,126025
158,2020-06-28,126394
159,2020-06-29,126840
160,2020-06-30,128197
161,2020-07-01,128962
162,2020-07-02,129630
163,2020-07-03,130406
164,2020-07-04,130890
165,2020-07-05,131290
166,2020-07-06,131791
167,2020-07-07,132795
168,2020-07-08,133698
169,2020-07-09,134701
170,2020-07-10,135632
171,2020-07-11,136457
172,2020-07-12,137167
173,2020-07-13,137763
174,2020-07-14,138819
175,2020-07-15,139860
176,2020-07-16,140903
177,2020-07-17,141901
178,2020-07-18,142911
179,2020-07-19,143630
180,2020-07-20,144338
181,2020-07-21,145536
182,2020-07-22,146682
183,2020-07-23,147898
184,2020-07-24,149273
185,2020-07-25,150192
186,2020-07-26,150928
187,2020-07-27,151670
188,2020-07-28,152307
189,2020-07-29,154207
190,2020-07-30,155603
191,2020-07-31,156886
192,2020-08-01,158038
193,2020-08-02,158716
194,2020-08-03,159346
195,2020-08-04,160587
196,2020-08-05,161831
197,2020-08-06,162998
198,2020-08-07,164211
199,2020-08-08,165239
200,2020-08-09,166028
201,2020-08-10,166687
202,2020-08-11,168005
203,2020-08-12,169328
204,2020-08-13,170366
205,2020-08-14,171362
206,2020-08-15,172546
207,2020-08-16,173212
208,2020-08-17,173809
209,2020-08-18,174880
210,2020-08-19,175991
211,2020-08-20,177002
212,2020-08-21,177929
213,2020-08-22,178918
214,2020-08-23,179465
215,2020-08-24,179988
216,2020-08-25,181006
217,2020-08-26,182304
218,2020-08-27,183212
219,2020-08-28,184120
220,2020-08-29,185062
221,2020-08-30,185567
222,2020-08-31,186151
223,2020-09-01,187103
