,Week,Mean_cases_NV,Median_cases_NV,Mode_cases_NV,Mean_deaths_NV,Median_deaths_NV,Mode_deaths_NV,Mean_cases_ID,Median_cases_ID,Mode_cases_ID,Mean_deaths_ID,Median_deaths_ID,Mode_deaths_ID,Mean_cases_MS,Median_cases_MS,Mode_cases_MS,Mean_deaths_MS,Median_deaths_MS,Mode_deaths_MS,Mean_cases_UT,Median_cases_UT,Mode_cases_UT,Mean_deaths_UT,Median_deaths_UT,Mode_deaths_UT
0,2020-01-20/2020-01-26,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
1,2020-01-27/2020-02-02,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
2,2020-02-03/2020-02-09,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
3,2020-02-10/2020-02-16,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
4,2020-02-17/2020-02-23,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
5,2020-02-24/2020-03-01,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
6,2020-03-02/2020-03-08,0.5714285714285714,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.14285714285714285,0.0,0,0.0,0.0,0
7,2020-03-09/2020-03-15,3.142857142857143,3.0,0,0.0,0.0,0,0.5714285714285714,0.0,0,0.0,0.0,0,1.4285714285714286,0.0,0,0.0,0.0,0,2.857142857142857,1.0,0,0.0,0.0,0
8,2020-03-16/2020-03-22,24.0,19.0,36,0.2857142857142857,0.0,0,5.857142857142857,4.0,4,0.0,0.0,0,28.0,16.0,2,0.14285714285714285,0.0,0,22.714285714285715,22.0,8,0.14285714285714285,0.0,0
9,2020-03-23/2020-03-29,106.85714285714286,117.0,0,1.8571428571428572,2.0,0,38.42857142857143,44.0,49,0.8571428571428571,1.0,0,78.57142857142857,61.0,0,1.8571428571428572,0.0,0,76.0,72.0,41,0.2857142857142857,0.0,0
10,2020-03-30/2020-04-05,130.0,104.0,83,4.428571428571429,5.0,3,112.28571428571429,110.0,24,0.5714285714285714,0.0,0,141.71428571428572,114.0,89,4.142857142857143,4.0,3,127.57142857142857,126.0,63,0.7142857142857143,0.0,0
11,2020-04-06/2020-04-12,112.57142857142857,138.0,0,8.0,5.0,0,46.42857142857143,41.0,11,2.4285714285714284,2.0,2,147.57142857142858,141.0,65,7.428571428571429,8.0,8,99.85714285714286,103.0,64,1.4285714285714286,0.0,0
12,2020-04-13/2020-04-19,157.57142857142858,98.0,0,10.285714285714286,4.0,0,35.285714285714285,22.0,4,2.5714285714285716,2.0,1,213.14285714285714,183.0,145,9.0,11.0,7,109.14285714285714,126.0,54,1.4285714285714286,1.0,1
13,2020-04-20/2020-04-26,130.71428571428572,133.0,88,6.857142857142857,6.0,1,31.571428571428573,31.0,8,1.5714285714285714,2.0,0,233.28571428571428,235.0,281,9.714285714285714,9.0,9,150.57142857142858,157.0,83,1.8571428571428572,1.0,0
14,2020-04-27/2020-05-03,121.14285714285714,84.0,35,7.285714285714286,6.0,12,24.0,27.0,31,1.0,1.0,0,234.85714285714286,229.0,112,11.0,11.0,10,150.57142857142858,156.0,104,1.2857142857142858,1.0,0
15,2020-05-04/2020-05-10,92.14285714285714,66.0,0,7.0,5.0,5,24.142857142857142,25.0,0,0.5714285714285714,0.0,0,278.2857142857143,277.0,132,18.0,12.0,32,153.85714285714286,146.0,146,2.5714285714285716,2.0,0
16,2020-05-11/2020-05-17,109.71428571428571,99.0,23,6.142857142857143,7.0,0,26.714285714285715,30.0,0,0.8571428571428571,0.0,0,255.42857142857142,233.0,173,13.142857142857142,13.0,5,140.85714285714286,159.0,73,1.7142857142857142,2.0,0
17,2020-05-18/2020-05-24,142.28571428571428,117.0,0,6.142857142857143,2.0,0,29.857142857142858,29.0,0,0.7142857142857143,0.0,0,280.42857142857144,260.0,136,14.857142857142858,16.0,16,165.28571428571428,156.0,145,2.4285714285714284,1.0,0
18,2020-05-25/2020-05-31,101.85714285714286,97.0,61,3.0,3.0,3,30.428571428571427,32.0,0,0.5714285714285714,0.0,0,319.2857142857143,318.0,204,15.571428571428571,17.0,17,134.28571428571428,99.0,0,1.5714285714285714,1.0,0
19,2020-06-01/2020-06-07,147.85714285714286,150.0,12,3.5714285714285716,3.0,3,42.714285714285715,57.0,27,0.14285714285714285,0.0,0,254.85714285714286,245.0,210,11.857142857142858,9.0,5,369.2857142857143,313.0,62,1.8571428571428572,0.0,0
20,2020-06-08/2020-06-14,221.0,216.0,116,1.2857142857142858,1.0,1,37.0,42.0,50,0.42857142857142855,0.0,0,320.14285714285717,353.0,0,10.571428571428571,10.0,0,352.7142857142857,351.0,246,2.5714285714285716,3.0,0
21,2020-06-15/2020-06-21,286.7142857142857,318.0,83,3.4285714285714284,3.0,2,86.57142857142857,92.0,0,0.42857142857142855,0.0,0,155.0,0.0,0,6.714285714285714,0.0,0,454.2857142857143,552.0,561,2.7142857142857144,3.0,3
22,2020-06-22/2020-06-28,565.0,473.0,362,1.8571428571428572,2.0,2,187.85714285714286,221.0,0,0.2857142857142857,0.0,0,756.5714285714286,551.0,368,14.428571428571429,13.0,13,531.1428571428571,564.0,402,1.2857142857142858,1.0,0
23,2020-06-29/2020-07-05,751.7142857142857,738.0,562,4.857142857142857,4.0,4,345.0,366.0,222,0.14285714285714285,0.0,0,715.4285714285714,681.0,230,10.428571428571429,10.0,4,537.2857142857143,557.0,412,2.2857142857142856,2.0,1
24,2020-07-06/2020-07-12,751.4285714285714,845.0,491,8.428571428571429,5.0,5,396.0,460.0,0,1.4285714285714286,1.0,0,768.4285714285714,791.0,355,19.142857142857142,15.0,15,654.2857142857143,640.0,525,4.571428571428571,5.0,5
25,2020-07-13/2020-07-19,1154.2857142857142,1184.0,831,7.714285714285714,7.0,7,542.1428571428571,618.0,0,2.4285714285714284,1.0,0,908.7142857142857,876.0,388,15.428571428571429,17.0,17,633.7142857142857,589.0,116,4.0,1.0,0
26,2020-07-20/2020-07-26,1010.4285714285714,966.0,815,12.428571428571429,10.0,28,553.4285714285714,525.0,347,3.857142857142857,3.0,3,1380.5714285714287,1434.0,982,19.714285714285715,15.0,3,559.0,545.0,344,4.428571428571429,7.0,0
27,2020-07-27/2020-08-02,1048.7142857142858,997.0,871,14.0,5.0,0,420.14285714285717,475.0,0,7.142857142857143,7.0,0,1162.857142857143,1164.0,613,23.428571428571427,24.0,0,450.0,464.0,369,5.142857142857143,6.0,4
28,2020-08-03/2020-08-09,865.2857142857143,887.0,649,17.857142857142858,15.0,15,507.85714285714283,558.0,182,5.857142857142857,6.0,6,960.4285714285714,1045.0,525,33.285714285714285,37.0,7,430.2857142857143,408.0,295,3.7142857142857144,3.0,3
29,2020-08-10/2020-08-16,725.1428571428571,697.0,527,16.428571428571427,15.0,15,401.0,495.0,0,4.571428571428571,4.0,0,710.0,647.0,381,27.857142857142858,32.0,32,362.42857142857144,340.0,279,3.857142857142857,2.0,2
30,2020-08-17/2020-08-23,613.5714285714286,532.0,143,17.857142857142858,0.0,0,311.7142857142857,370.0,0,5.285714285714286,4.0,0,821.0,825.0,276,22.285714285714285,24.0,34,349.7142857142857,314.0,263,3.2857142857142856,2.0,0
31,2020-08-24/2020-08-30,470.0,445.0,249,15.0,14.0,0,288.0,309.0,0,7.428571428571429,8.0,0,683.7142857142857,643.0,508,28.571428571428573,23.0,8,391.2857142857143,404.0,246,3.0,3.0,0
32,2020-08-31/2020-09-06,382.42857142857144,387.0,0,12.428571428571429,3.0,0,257.2857142857143,280.0,0,3.7142857142857144,3.0,0,602.2857142857143,633.0,276,20.428571428571427,20.0,20,394.85714285714283,435.0,64,2.142857142857143,2.0,0
33,2020-09-07/2020-09-13,269.42857142857144,285.0,138,8.571428571428571,10.0,0,257.42857142857144,307.0,112,4.428571428571429,3.0,1,425.85714285714283,423.0,242,15.428571428571429,15.0,15,468.0,417.0,304,1.5714285714285714,1.0,1
34,2020-09-14/2020-09-20,331.57142857142856,322.0,195,11.571428571428571,12.0,12,316.14285714285717,284.0,245,3.857142857142857,4.0,4,499.42857142857144,505.0,153,16.714285714285715,16.0,1,841.1428571428571,897.0,528,1.0,0.0,0
35,2020-09-21/2020-09-27,415.57142857142856,370.0,66,7.857142857142857,9.0,9,400.57142857142856,446.0,0,2.5714285714285716,2.0,2,499.2857142857143,552.0,183,15.857142857142858,17.0,8,973.4285714285714,1015.0,606,1.8571428571428572,1.0,0
36,2020-09-28/2020-10-04,477.7142857142857,421.0,381,5.428571428571429,6.0,3,486.57142857142856,513.0,0,2.857142857142857,3.0,0,518.8571428571429,591.0,191,13.428571428571429,12.0,1,996.0,916.0,179,3.5714285714285716,2.0,0
37,2020-10-05/2020-10-11,521.4285714285714,466.0,0,5.428571428571429,2.0,0,623.5714285714286,664.0,365,3.857142857142857,3.0,3,634.7142857142857,578.0,215,12.428571428571429,13.0,0,1020.5714285714286,1173.0,26,4.714285714285714,4.0,4
38,2020-10-12/2020-10-18,664.1428571428571,705.0,0,7.142857142857143,3.0,0,645.1428571428571,645.0,0,3.142857142857143,3.0,6,808.1428571428571,751.0,297,10.142857142857142,10.0,0,1388.0,1371.0,905,4.714285714285714,3.0,2
