Day,Sum_Cases,Sum_Deaths,New Cases,New Death,cases_per_100k,deaths_per_100k,Week
2020-01-22,0.0,0.0,0,0,0.0,0.0,2020-01-20/2020-01-26
2020-01-23,0.0,0.0,0,0,0.0,0.0,2020-01-20/2020-01-26
2020-01-24,0.0,0.0,0,0,0.0,0.0,2020-01-20/2020-01-26
2020-01-25,0.0,0.0,0,0,0.0,0.0,2020-01-20/2020-01-26
2020-01-26,0.0,0.0,0,0,0.0,0.0,2020-01-20/2020-01-26
2020-01-27,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-01-28,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-01-29,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-01-30,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-01-31,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-02-01,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-02-02,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-02-03,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-04,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-05,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-06,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-07,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-08,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-09,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-10,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-11,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-12,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-13,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-14,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-15,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-16,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-17,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-18,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-19,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-20,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-21,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-22,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-23,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-24,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-02-25,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-02-26,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-02-27,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-02-28,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-02-29,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-03-01,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-03-02,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-03,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-04,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-05,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-06,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-07,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-08,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-09,0.0,0.0,0,0,0.0,0.0,2020-03-09/2020-03-15
2020-03-10,0.0,0.0,0,0,0.0,0.0,2020-03-09/2020-03-15
2020-03-11,0.0,0.0,0,0,0.0,0.0,2020-03-09/2020-03-15
2020-03-12,1.0,0.0,1,0,0.03360046825612562,0.0,2020-03-09/2020-03-15
2020-03-13,6.0,0.0,5,0,0.1680023412806281,0.0,2020-03-09/2020-03-15
2020-03-14,10.0,0.0,4,0,0.1344018730245025,0.0,2020-03-09/2020-03-15
2020-03-15,10.0,0.0,0,0,0.0,0.0,2020-03-09/2020-03-15
2020-03-16,12.0,0.0,2,0,0.06720093651225124,0.0,2020-03-16/2020-03-22
2020-03-17,21.0,0.0,9,0,0.30240421430513054,0.0,2020-03-16/2020-03-22
2020-03-18,34.0,0.0,13,0,0.43680608732963305,0.0,2020-03-16/2020-03-22
2020-03-19,50.0,1.0,16,1,0.53760749209801,0.03360046825612562,2020-03-16/2020-03-22
2020-03-20,80.0,1.0,30,0,1.0080140476837685,0.0,2020-03-16/2020-03-22
2020-03-21,140.0,1.0,60,0,2.016028095367537,0.0,2020-03-16/2020-03-22
2020-03-22,206.0,1.0,66,0,2.217630904904291,0.0,2020-03-16/2020-03-22
2020-03-23,246.0,1.0,40,0,1.3440187302450248,0.0,2020-03-23/2020-03-29
2020-03-24,313.0,1.0,67,0,2.251231373160416,0.0,2020-03-23/2020-03-29
2020-03-25,374.0,5.0,61,4,2.0496285636236626,0.1344018730245025,2020-03-23/2020-03-29
2020-03-26,484.0,6.0,110,1,3.696051508173818,0.03360046825612562,2020-03-23/2020-03-29
2020-03-27,484.0,6.0,0,0,0.0,0.0,2020-03-23/2020-03-29
2020-03-28,484.0,6.0,0,0,0.0,0.0,2020-03-23/2020-03-29
2020-03-29,756.0,14.0,272,8,9.139327365666167,0.268803746049005,2020-03-23/2020-03-29
2020-03-30,845.0,15.0,89,1,2.99044167479518,0.03360046825612562,2020-03-30/2020-04-05
2020-03-31,935.0,18.0,90,3,3.0240421430513056,0.10080140476837686,2020-03-30/2020-04-05
2020-04-01,1064.0,21.0,129,3,4.334460405040205,0.10080140476837686,2020-03-30/2020-04-05
2020-04-02,1178.0,25.0,114,4,3.83045338119832,0.1344018730245025,2020-03-30/2020-04-05
2020-04-03,1460.0,29.0,282,4,9.475332048227424,0.1344018730245025,2020-03-30/2020-04-05
2020-04-04,1566.0,35.0,106,6,3.5616496351493154,0.20160280953675372,2020-03-30/2020-04-05
2020-04-05,1748.0,43.0,182,8,6.115285222614862,0.268803746049005,2020-03-30/2020-04-05
2020-04-06,1848.0,51.0,100,8,3.3600468256125615,0.268803746049005,2020-04-06/2020-04-12
2020-04-07,1913.0,59.0,65,8,2.184030436648165,0.268803746049005,2020-04-06/2020-04-12
2020-04-08,2005.0,66.0,92,7,3.0912430795635566,0.2352032777928793,2020-04-06/2020-04-12
2020-04-09,2258.0,75.0,253,9,8.500918468799782,0.30240421430513054,2020-04-06/2020-04-12
