Day,Sum_Cases,Sum_Deaths,New Cases,New Death,cases_per_100k,deaths_per_100k,Week
2020-01-22,0.0,0.0,0,0,0.0,0.0,2020-01-20/2020-01-26
2020-01-23,0.0,0.0,0,0,0.0,0.0,2020-01-20/2020-01-26
2020-01-24,0.0,0.0,0,0,0.0,0.0,2020-01-20/2020-01-26
2020-01-25,0.0,0.0,0,0,0.0,0.0,2020-01-20/2020-01-26
2020-01-26,0.0,0.0,0,0,0.0,0.0,2020-01-20/2020-01-26
2020-01-27,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-01-28,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-01-29,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-01-30,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-01-31,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-02-01,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-02-02,0.0,0.0,0,0,0.0,0.0,2020-01-27/2020-02-02
2020-02-03,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-04,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-05,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-06,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-07,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-08,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-09,0.0,0.0,0,0,0.0,0.0,2020-02-03/2020-02-09
2020-02-10,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-11,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-12,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-13,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-14,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-15,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-16,0.0,0.0,0,0,0.0,0.0,2020-02-10/2020-02-16
2020-02-17,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-18,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-19,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-20,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-21,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-22,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-23,0.0,0.0,0,0,0.0,0.0,2020-02-17/2020-02-23
2020-02-24,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-02-25,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-02-26,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-02-27,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-02-28,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-02-29,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-03-01,0.0,0.0,0,0,0.0,0.0,2020-02-24/2020-03-01
2020-03-02,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-03,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-04,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-05,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-06,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-07,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-08,0.0,0.0,0,0,0.0,0.0,2020-03-02/2020-03-08
2020-03-09,0.0,0.0,0,0,0.0,0.0,2020-03-09/2020-03-15
2020-03-10,0.0,0.0,0,0,0.0,0.0,2020-03-09/2020-03-15
2020-03-11,3.0,0.0,3,0,0.14307318336402253,0.0,2020-03-09/2020-03-15
2020-03-12,5.0,0.0,2,0,0.0953821222426817,0.0,2020-03-09/2020-03-15
2020-03-13,10.0,0.0,5,0,0.23845530560670422,0.0,2020-03-09/2020-03-15
2020-03-14,13.0,0.0,3,0,0.14307318336402253,0.0,2020-03-09/2020-03-15
2020-03-15,13.0,0.0,0,0,0.0,0.0,2020-03-09/2020-03-15
2020-03-16,21.0,0.0,8,0,0.3815284889707268,0.0,2020-03-16/2020-03-22
2020-03-17,23.0,0.0,2,0,0.0953821222426817,0.0,2020-03-16/2020-03-22
2020-03-18,28.0,0.0,5,0,0.23845530560670422,0.0,2020-03-16/2020-03-22
2020-03-19,35.0,0.0,7,0,0.3338374278493859,0.0,2020-03-16/2020-03-22
2020-03-20,43.0,0.0,8,0,0.3815284889707268,0.0,2020-03-16/2020-03-22
2020-03-21,57.0,0.0,14,0,0.6676748556987718,0.0,2020-03-16/2020-03-22
2020-03-22,65.0,0.0,8,0,0.3815284889707268,0.0,2020-03-16/2020-03-22
2020-03-23,82.0,0.0,17,0,0.8107480390627942,0.0,2020-03-23/2020-03-29
2020-03-24,95.0,0.0,13,0,0.6199837945774309,0.0,2020-03-23/2020-03-29
2020-03-25,112.0,0.0,17,0,0.8107480390627942,0.0,2020-03-23/2020-03-29
2020-03-26,136.0,1.0,24,1,1.1445854669121802,0.04769106112134085,2020-03-23/2020-03-29
2020-03-27,185.0,1.0,49,0,2.3368619949457012,0.0,2020-03-23/2020-03-29
2020-03-28,208.0,2.0,23,1,1.0968944057908394,0.04769106112134085,2020-03-23/2020-03-29
2020-03-29,234.0,2.0,26,0,1.2399675891548618,0.0,2020-03-23/2020-03-29
2020-03-30,281.0,2.0,47,0,2.2414798727030196,0.0,2020-03-30/2020-04-05
2020-03-31,315.0,5.0,34,3,1.6214960781255885,0.14307318336402253,2020-03-30/2020-04-05
2020-04-01,362.0,6.0,47,1,2.2414798727030196,0.04769106112134085,2020-03-30/2020-04-05
2020-04-02,403.0,7.0,41,1,1.9553335059749746,0.04769106112134085,2020-03-30/2020-04-05
2020-04-03,494.0,10.0,91,3,4.339886562042016,0.14307318336402253,2020-03-30/2020-04-05
2020-04-04,545.0,11.0,51,1,2.432244117188383,0.04769106112134085,2020-03-30/2020-04-05
2020-04-05,626.0,12.0,81,1,3.8629759508286083,0.04769106112134085,2020-03-30/2020-04-05
2020-04-06,688.0,12.0,62,0,2.956845789523132,0.0,2020-04-06/2020-04-12
2020-04-07,796.0,13.0,108,1,5.150634601104811,0.04769106112134085,2020-04-06/2020-04-12
2020-04-08,865.0,16.0,69,3,3.290683217372518,0.14307318336402253,2020-04-06/2020-04-12
2020-04-09,989.0,17.0,124,1,5.913691579046264,0.04769106112134085,2020-04-06/2020-04-12
