,Day,Sum_Cases,Sum_Deaths
0,2020-01-22_confirmed,0.0,0.0
1,2020-01-23_confirmed,0.0,0.0
2,2020-01-24_confirmed,0.0,0.0
3,2020-01-25_confirmed,0.0,0.0
4,2020-01-26_confirmed,0.0,0.0
5,2020-01-27_confirmed,0.0,0.0
6,2020-01-28_confirmed,0.0,0.0
7,2020-01-29_confirmed,0.0,0.0
8,2020-01-30_confirmed,0.0,0.0
9,2020-01-31_confirmed,0.0,0.0
10,2020-02-01_confirmed,0.0,0.0
11,2020-02-02_confirmed,0.0,0.0
12,2020-02-03_confirmed,0.0,0.0
13,2020-02-04_confirmed,0.0,0.0
14,2020-02-05_confirmed,0.0,0.0
15,2020-02-06_confirmed,0.0,0.0
16,2020-02-07_confirmed,0.0,0.0
17,2020-02-08_confirmed,0.0,0.0
18,2020-02-09_confirmed,0.0,0.0
19,2020-02-10_confirmed,0.0,0.0
20,2020-02-11_confirmed,0.0,0.0
21,2020-02-12_confirmed,0.0,0.0
22,2020-02-13_confirmed,0.0,0.0
23,2020-02-14_confirmed,0.0,0.0
24,2020-02-15_confirmed,0.0,0.0
25,2020-02-16_confirmed,0.0,0.0
26,2020-02-17_confirmed,0.0,0.0
27,2020-02-18_confirmed,0.0,0.0
28,2020-02-19_confirmed,0.0,0.0
29,2020-02-20_confirmed,0.0,0.0
30,2020-02-21_confirmed,0.0,0.0
31,2020-02-22_confirmed,0.0,0.0
32,2020-02-23_confirmed,0.0,0.0
33,2020-02-24_confirmed,0.0,0.0
34,2020-02-25_confirmed,0.0,0.0
35,2020-02-26_confirmed,0.0,0.0
36,2020-02-27_confirmed,0.0,0.0
37,2020-02-28_confirmed,0.0,0.0
38,2020-02-29_confirmed,0.0,0.0
39,2020-03-01_confirmed,0.0,0.0
40,2020-03-02_confirmed,0.0,0.0
41,2020-03-03_confirmed,0.0,0.0
42,2020-03-04_confirmed,0.0,0.0
43,2020-03-05_confirmed,1.0,0.0
44,2020-03-06_confirmed,2.0,0.0
45,2020-03-07_confirmed,2.0,0.0
46,2020-03-08_confirmed,4.0,0.0
47,2020-03-09_confirmed,4.0,0.0
48,2020-03-10_confirmed,7.0,0.0
49,2020-03-11_confirmed,7.0,0.0
50,2020-03-12_confirmed,11.0,0.0
51,2020-03-13_confirmed,20.0,0.0
52,2020-03-14_confirmed,21.0,0.0
53,2020-03-15_confirmed,26.0,0.0
54,2020-03-16_confirmed,45.0,1.0
55,2020-03-17_confirmed,55.0,1.0
56,2020-03-18_confirmed,55.0,1.0
57,2020-03-19_confirmed,91.0,1.0
58,2020-03-20_confirmed,153.0,2.0
59,2020-03-21_confirmed,158.0,2.0
60,2020-03-22_confirmed,194.0,2.0
61,2020-03-23_confirmed,249.0,4.0
62,2020-03-24_confirmed,281.0,6.0
63,2020-03-25_confirmed,408.0,10.0
64,2020-03-26_confirmed,536.0,10.0
65,2020-03-27_confirmed,520.0,10.0
66,2020-03-28_confirmed,637.0,14.0
67,2020-03-29_confirmed,926.0,15.0
68,2020-03-30_confirmed,1009.0,18.0
69,2020-03-31_confirmed,1113.0,26.0
70,2020-04-01_confirmed,1279.0,32.0
71,2020-04-02_confirmed,1458.0,38.0
72,2020-04-03_confirmed,1551.0,43.0
73,2020-04-04_confirmed,1752.0,46.0
74,2020-04-05_confirmed,1836.0,46.0
75,2020-04-06_confirmed,1953.0,58.0
76,2020-04-07_confirmed,2098.0,59.0
77,2020-04-08_confirmed,2318.0,80.0
78,2020-04-09_confirmed,2456.0,85.0
79,2020-04-10_confirmed,2624.0,102.0
80,2020-04-11_confirmed,2624.0,102.0
81,2020-04-12_confirmed,2624.0,102.0
82,2020-04-13_confirmed,2624.0,102.0
83,2020-04-14_confirmed,2624.0,102.0
84,2020-04-15_confirmed,2624.0,102.0
85,2020-04-16_confirmed,3324.0,154.0
86,2020-04-17_confirmed,3461.0,158.0
87,2020-04-18_confirmed,3629.0,168.0
88,2020-04-19_confirmed,3727.0,174.0
89,2020-04-20_confirmed,3815.0,175.0
90,2020-04-21_confirmed,3945.0,179.0
91,2020-04-22_confirmed,4092.0,190.0
92,2020-04-23_confirmed,4225.0,206.0
93,2020-04-24_confirmed,4373.0,214.0
94,2020-04-25_confirmed,4547.0,216.0
95,2020-04-26_confirmed,4642.0,222.0
96,2020-04-27_confirmed,4726.0,223.0
97,2020-04-28_confirmed,4802.0,235.0
98,2020-04-29_confirmed,4951.0,247.0
99,2020-04-30_confirmed,5040.0,253.0
100,2020-05-01_confirmed,5075.0,253.0
101,2020-05-02_confirmed,5407.0,269.0
102,2020-05-03_confirmed,5490.0,273.0
