,Week,Mean,Median,Mode
0,2020-01-20/2020-01-26,7.2,8.0,0
1,2020-01-27/2020-02-02,10.142857142857142,7.0,0
2,2020-02-03/2020-02-09,9.0,6.0,4
3,2020-02-10/2020-02-16,7.0,7.0,4
4,2020-02-17/2020-02-23,14.571428571428571,15.0,15
5,2020-02-24/2020-03-01,36.857142857142854,39.0,25
6,2020-03-02/2020-03-08,163.0,145.0,91
7,2020-03-09/2020-03-15,805.5714285714286,789.0,582
8,2020-03-16/2020-03-22,4868.857142857143,5426.0,1449
9,2020-03-23/2020-03-29,15817.142857142857,16838.0,10199
10,2020-03-30/2020-04-05,27734.14285714286,26232.0,21840
11,2020-04-06/2020-04-12,31297.571428571428,32587.0,8424
12,2020-04-13/2020-04-19,28386.285714285714,28412.0,24846
13,2020-04-20/2020-04-26,29903.85714285714,28439.0,25638
14,2020-04-27/2020-05-03,27770.14285714286,27934.0,22714
15,2020-05-04/2020-05-10,24456.714285714286,24303.0,20335
16,2020-05-11/2020-05-17,22614.571428571428,22480.0,17570
17,2020-05-18/2020-05-24,22675.14285714286,22682.0,20497
18,2020-05-25/2020-05-31,21197.85714285714,21698.0,17578
19,2020-06-01/2020-06-07,22407.428571428572,21795.0,18348
20,2020-06-08/2020-06-14,22213.0,22023.0,16564
21,2020-06-15/2020-06-21,28906.428571428572,28505.0,19118
22,2020-06-22/2020-06-28,41406.71428571428,41884.0,27668
23,2020-06-29/2020-07-05,50360.0,51573.0,36081
24,2020-07-06/2020-07-12,60902.42857142857,63439.0,44394
25,2020-07-13/2020-07-19,67014.85714285714,66574.0,54306
26,2020-07-20/2020-07-26,63811.857142857145,64615.0,54835
27,2020-07-27/2020-08-02,59481.142857142855,60756.0,49528
28,2020-08-03/2020-08-09,51797.0,54366.0,40209
29,2020-08-10/2020-08-16,46329.857142857145,49176.0,36209
30,2020-08-17/2020-08-23,40450.42857142857,42300.0,32267
31,2020-08-24/2020-08-30,40301.857142857145,41767.0,33164
32,2020-08-31/2020-09-06,39366.857142857145,41460.0,31036
33,2020-09-07/2020-09-13,33963.57142857143,35269.0,24677
34,2020-09-14/2020-09-20,39697.857142857145,42427.0,32004
35,2020-09-21/2020-09-27,43798.28571428572,44104.0,31825
36,2020-09-28/2020-10-04,43098.71428571428,46712.0,34687
37,2020-10-05/2020-10-11,48710.71428571428,50182.0,37091
38,2020-10-12/2020-10-18,56793.0,57534.0,46362
39,2020-10-19/2020-10-25,66944.71428571429,63244.0,56674
40,2020-10-26/2020-11-01,90885.14285714286,83523.0,71382
41,2020-11-02/2020-11-08,112259.28571428571,112270.0,92122
42,2020-11-09/2020-11-15,152914.57142857142,151650.0,133059
43,2020-11-16/2020-11-22,172823.85714285713,168939.0,138358
44,2020-11-23/2020-11-29,163445.14285714287,171750.0,123827
45,2020-11-30/2020-12-06,203238.42857142858,213214.0,155954
46,2020-12-07/2020-12-13,216544.2857142857,228669.0,177815
47,2020-12-14/2020-12-20,212193.2857142857,215592.0,163603
48,2020-12-21/2020-12-27,158710.0,161286.0,95538
49,2020-12-28/2021-01-03,235080.57142857142,236987.0,165207
50,2021-01-04/2021-01-10,246735.14285714287,266681.0,175367
51,2021-01-11/2021-01-17,207391.42857142858,216057.0,161290
52,2021-01-18/2021-01-24,167241.2857142857,166035.0,129272
53,2021-01-25/2021-01-31,140187.85714285713,146610.0,106676
54,2021-02-01/2021-02-07,113490.42857142857,117973.0,94769
55,2021-02-08/2021-02-14,85980.0,93429.0,63289
56,2021-02-15/2021-02-21,61653.857142857145,64831.0,50409
57,2021-02-22/2021-02-28,64978.857142857145,67443.0,50026
58,2021-03-01/2021-03-07,56026.28571428572,54362.0,41196
59,2021-03-08/2021-03-14,53097.0,57073.0,43153
60,2021-03-15/2021-03-21,50600.857142857145,51805.0,37682
61,2021-03-22/2021-03-28,64530.57142857143,60685.0,44308
62,2021-03-29/2021-04-04,61308.57142857143,62230.0,37293
63,2021-04-05/2021-04-11,68658.71428571429,74891.0,43052
64,2021-04-12/2021-04-18,66569.42857142857,71027.0,41987
65,2021-04-19/2021-04-25,55774.857142857145,60039.0,34768
66,2021-04-26/2021-05-02,47849.57142857143,48649.0,27614
67,2021-05-03/2021-05-09,39438.857142857145,43881.0,19473
68,2021-05-10/2021-05-16,32379.285714285714,34282.0,16684
69,2021-05-17/2021-05-23,24430.285714285714,26856.0,12697
70,2021-05-24/2021-05-30,19065.14285714286,22705.0,6633
71,2021-05-31/2021-06-06,13975.142857142857,16928.0,5729
72,2021-06-07/2021-06-13,10278.285714285714,12393.0,0
73,2021-06-14/2021-06-20,11335.0,11429.0,3370
74,2021-06-21/2021-06-27,11842.714285714286,12602.0,3822
75,2021-06-28/2021-07-04,14817.0,17619.0,5578
76,2021-07-05/2021-07-11,20978.571428571428,26357.0,8417
