,Week,Mean_cases,Median_cases,Mode_cases,Mean_deaths,Median_deaths,Mode_deaths
0,2020-01-20/2020-01-26,0.0,0.0,0,0.0,0.0,0
1,2020-01-27/2020-02-02,0.0,0.0,0,0.0,0.0,0
2,2020-02-03/2020-02-09,0.0,0.0,0,0.0,0.0,0
3,2020-02-10/2020-02-16,0.0,0.0,0,0.0,0.0,0
4,2020-02-17/2020-02-23,0.0,0.0,0,0.0,0.0,0
5,2020-02-24/2020-03-01,0.0,0.0,0,0.0,0.0,0
6,2020-03-02/2020-03-08,0.5714285714285714,0.0,0,0.0,0.0,0
7,2020-03-09/2020-03-15,3.142857142857143,3.0,0,0.0,0.0,0
8,2020-03-16/2020-03-22,24.0,19.0,36,0.2857142857142857,0.0,0
9,2020-03-23/2020-03-29,106.85714285714286,117.0,0,1.8571428571428572,2.0,0
10,2020-03-30/2020-04-05,130.0,104.0,83,4.428571428571429,5.0,3
11,2020-04-06/2020-04-12,112.57142857142857,138.0,0,8.0,5.0,0
12,2020-04-13/2020-04-19,157.57142857142858,98.0,0,10.285714285714286,4.0,0
13,2020-04-20/2020-04-26,130.71428571428572,133.0,88,6.857142857142857,6.0,1
14,2020-04-27/2020-05-03,121.14285714285714,84.0,35,7.285714285714286,6.0,12
15,2020-05-04/2020-05-10,92.14285714285714,66.0,0,7.0,5.0,5
16,2020-05-11/2020-05-17,109.71428571428571,99.0,23,6.142857142857143,7.0,0
17,2020-05-18/2020-05-24,142.28571428571428,117.0,0,6.142857142857143,2.0,0
18,2020-05-25/2020-05-31,101.85714285714286,97.0,61,3.0,3.0,3
19,2020-06-01/2020-06-07,147.85714285714286,150.0,12,3.5714285714285716,3.0,3
20,2020-06-08/2020-06-14,221.0,216.0,116,1.2857142857142858,1.0,1
21,2020-06-15/2020-06-21,286.7142857142857,318.0,83,3.4285714285714284,3.0,2
22,2020-06-22/2020-06-28,565.0,473.0,362,1.8571428571428572,2.0,2
23,2020-06-29/2020-07-05,751.7142857142857,738.0,562,4.857142857142857,4.0,4
24,2020-07-06/2020-07-12,751.4285714285714,845.0,491,8.428571428571429,5.0,5
25,2020-07-13/2020-07-19,1154.2857142857142,1184.0,831,7.714285714285714,7.0,7
26,2020-07-20/2020-07-26,1010.4285714285714,966.0,815,12.428571428571429,10.0,28
27,2020-07-27/2020-08-02,1048.7142857142858,997.0,871,14.0,5.0,0
28,2020-08-03/2020-08-09,865.2857142857143,887.0,649,17.857142857142858,15.0,15
29,2020-08-10/2020-08-16,725.1428571428571,697.0,527,16.428571428571427,15.0,15
30,2020-08-17/2020-08-23,613.5714285714286,532.0,143,17.857142857142858,0.0,0
31,2020-08-24/2020-08-30,470.0,445.0,249,15.0,14.0,0
32,2020-08-31/2020-09-06,382.42857142857144,387.0,0,12.428571428571429,3.0,0
33,2020-09-07/2020-09-13,269.42857142857144,285.0,138,8.571428571428571,10.0,0
34,2020-09-14/2020-09-20,331.57142857142856,322.0,195,11.571428571428571,12.0,12
35,2020-09-21/2020-09-27,415.57142857142856,370.0,66,7.857142857142857,9.0,9
36,2020-09-28/2020-10-04,477.7142857142857,421.0,381,5.428571428571429,6.0,3
37,2020-10-05/2020-10-11,521.4285714285714,466.0,0,5.428571428571429,2.0,0
38,2020-10-12/2020-10-18,664.1428571428571,705.0,0,7.142857142857143,3.0,0
39,2020-10-19/2020-10-25,754.7142857142857,779.0,483,5.285714285714286,5.0,5
40,2020-10-26/2020-11-01,727.4285714285714,723.0,0,4.142857142857143,3.0,0
41,2020-11-02/2020-11-08,1295.5714285714287,1254.0,898,10.285714285714286,7.0,1
42,2020-11-09/2020-11-15,1441.142857142857,1313.0,953,8.142857142857142,6.0,1
43,2020-11-16/2020-11-22,1575.142857142857,1656.0,0,14.428571428571429,8.0,0
44,2020-11-23/2020-11-29,2560.5714285714284,2840.0,0,17.428571428571427,23.0,23
45,2020-11-30/2020-12-06,2457.8571428571427,2490.0,1574,23.857142857142858,23.0,23
46,2020-12-07/2020-12-13,2540.1428571428573,2633.0,1503,31.0,39.0,4
47,2020-12-14/2020-12-20,2043.5714285714287,2310.0,0,29.285714285714285,33.0,0
48,2020-12-21/2020-12-27,2019.857142857143,2186.0,0,27.428571428571427,34.0,0
49,2020-12-28/2021-01-03,2145.8571428571427,1825.0,730,31.857142857142858,18.0,5
50,2021-01-04/2021-01-10,2391.8571428571427,2601.0,0,37.42857142857143,38.0,0
51,2021-01-11/2021-01-17,1828.142857142857,1640.0,0,43.142857142857146,33.0,0
52,2021-01-18/2021-01-24,1313.857142857143,1494.0,0,34.0,12.0,0
53,2021-01-25/2021-01-31,1048.2857142857142,1016.0,0,34.0,43.0,0
54,2021-02-01/2021-02-07,811.5714285714286,881.0,0,35.42857142857143,39.0,0
55,2021-02-08/2021-02-14,537.7142857142857,546.0,0,24.428571428571427,26.0,0
56,2021-02-15/2021-02-21,441.42857142857144,363.0,0,25.142857142857142,15.0,0
57,2021-02-22/2021-02-28,389.7142857142857,457.0,0,12.285714285714286,14.0,0
58,2021-03-01/2021-03-07,307.0,376.0,0,11.0,15.0,0
59,2021-03-08/2021-03-14,470.2857142857143,419.0,0,11.428571428571429,13.0,0
60,2021-03-15/2021-03-21,232.71428571428572,256.0,0,7.285714285714286,4.0,0
61,2021-03-22/2021-03-28,282.7142857142857,345.0,11,8.857142857142858,8.0,0
62,2021-03-29/2021-04-04,293.42857142857144,276.0,0,5.285714285714286,3.0,0
63,2021-04-05/2021-04-11,1189.142857142857,452.0,166,24.428571428571427,9.0,9
64,2021-04-12/2021-04-18,315.85714285714283,395.0,0,4.714285714285714,6.0,0
65,2021-04-19/2021-04-25,372.14285714285717,436.0,0,8.142857142857142,9.0,0
66,2021-04-26/2021-05-02,371.14285714285717,405.0,0,6.0,5.0,11
67,2021-05-03/2021-05-09,363.14285714285717,394.0,0,4.857142857142857,7.0,0
68,2021-05-10/2021-05-16,365.57142857142856,436.0,0,4.571428571428571,6.0,0
69,2021-05-17/2021-05-23,259.0,302.0,0,3.142857142857143,3.0,0
70,2021-05-24/2021-05-30,199.42857142857142,232.0,0,4.857142857142857,7.0,0
71,2021-05-31/2021-06-06,234.85714285714286,350.0,0,2.0,1.0,0
72,2021-06-07/2021-06-13,249.71428571428572,262.0,0,3.142857142857143,3.0,0
73,2021-06-14/2021-06-20,247.85714285714286,296.0,0,3.857142857142857,4.0,0
74,2021-06-21/2021-06-27,391.2857142857143,447.0,0,3.0,1.0,0
75,2021-06-28/2021-07-04,449.85714285714283,543.0,0,4.285714285714286,3.0,0
76,2021-07-05/2021-07-11,472.7142857142857,453.0,0,3.2857142857142856,2.0,0
77,2021-07-12/2021-07-18,717.7142857142857,855.0,0,5.428571428571429,6.0,0
78,2021-07-19/2021-07-25,849.5714285714286,942.0,0,8.428571428571429,3.0,0
79,2021-07-26/2021-08-01,1051.142857142857,1179.0,0,13.571428571428571,17.0,0
80,2021-08-02/2021-08-08,1024.7142857142858,1135.0,0,13.285714285714286,11.0,0
81,2021-08-09/2021-08-15,1078.857142857143,1125.0,0,22.142857142857142,24.0,0
82,2021-08-16/2021-08-22,1082.0,1207.0,0,17.142857142857142,21.0,0
83,2021-08-23/2021-08-29,1122.7142857142858,1137.0,0,21.857142857142858,24.0,0
84,2021-08-30/2021-09-05,1148.0,1242.0,0,21.428571428571427,26.0,0
85,2021-09-06/2021-09-12,1043.7142857142858,1115.0,0,17.0,21.0,0
86,2021-09-13/2021-09-19,1171.857142857143,1361.0,0,20.428571428571427,26.0,0
87,2021-09-20/2021-09-26,913.1428571428571,1053.0,0,24.285714285714285,32.0,0
88,2021-09-27/2021-10-03,833.2857142857143,902.0,0,21.571428571428573,28.0,0
89,2021-10-04/2021-10-10,1987.857142857143,267.0,0,17.0,22.0,0
90,2021-10-11/2021-10-17,682.4285714285714,707.0,0,19.571428571428573,22.0,0
91,2021-10-18/2021-10-24,665.1428571428571,716.0,0,14.428571428571429,15.0,0
92,2021-10-25/2021-10-31,520.7142857142857,686.0,0,15.428571428571429,23.0,0
93,2021-11-01/2021-11-07,834.4285714285714,847.0,0,11.714285714285714,12.0,0
94,2021-11-08/2021-11-14,673.5714285714286,657.0,0,13.714285714285714,12.0,0
95,2021-11-15/2021-11-21,679.2857142857143,711.0,0,15.714285714285714,16.0,0
96,2021-11-22/2021-11-28,448.7142857142857,0.0,0,7.714285714285714,0.0,0
97,2021-11-29/2021-12-05,768.0,843.0,0,13.857142857142858,15.0,0
98,2021-12-06/2021-12-12,704.5714285714286,706.0,0,17.0,16.0,0
99,2021-12-13/2021-12-19,743.4285714285714,837.0,0,12.714285714285714,15.0,0
100,2021-12-20/2021-12-26,856.1428571428571,1165.0,0,12.285714285714286,10.0,0
101,2021-12-27/2022-01-02,1700.2857142857142,1805.0,0,8.0,3.0,0
102,2022-01-03/2022-01-09,3958.714285714286,2902.0,0,12.857142857142858,8.0,0
103,2022-01-10/2022-01-16,6268.142857142857,6270.0,0,16.714285714285715,21.0,0
104,2022-01-17/2022-01-23,5962.285714285715,5185.0,0,15.571428571428571,21.0,0
105,2022-01-24/2022-01-30,4797.571428571428,4393.0,0,25.428571428571427,37.0,0
106,2022-01-31/2022-02-06,2446.1428571428573,2104.0,0,32.857142857142854,37.0,0
107,2022-02-07/2022-02-13,1158.7142857142858,1026.0,0,27.285714285714285,34.0,0
108,2022-02-14/2022-02-20,574.7142857142857,323.0,0,24.714285714285715,19.0,0
109,2022-02-21/2022-02-27,577.4285714285714,0.0,0,22.285714285714285,0.0,0
110,2022-02-28/2022-03-06,490.57142857142856,265.0,0,15.714285714285714,12.0,0
111,2022-03-07/2022-03-13,461.85714285714283,548.0,0,21.142857142857142,24.0,0
112,2022-03-14/2022-03-20,2344.5714285714284,0.0,0,3.857142857142857,0.0,0
113,2022-03-21/2022-03-27,164.0,0.0,0,11.714285714285714,0.0,0
114,2022-03-28/2022-04-03,165.42857142857142,0.0,0,8.571428571428571,0.0,0
115,2022-04-04/2022-04-10,172.57142857142858,0.0,0,6.428571428571429,0.0,0
116,2022-04-11/2022-04-17,162.85714285714286,0.0,0,52.142857142857146,0.0,0
