Week,Mean_cases_per_100k,Median_cases_per_100k,Mode_cases_per_100k,Mean_deaths_per_100k,Median_deaths_per_100k,Mode_deaths_per_100k
2020-01-20/2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27/2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03/2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10/2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17/2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24/2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02/2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09/2020-03-15,0.04800066893732231,0.0,0.0,0.0,0.0,0.0
2020-03-16/2020-03-22,0.9408131111715173,0.53760749209801,0.06720093651225124,0.004800066893732232,0.0,0.0
2020-03-23/2020-03-29,2.640036791552727,2.0496285636236626,0.0,0.06240086961851902,0.0,0.0
2020-03-30/2020-04-05,4.761666358582373,3.83045338119832,2.99044167479518,0.1392019399182347,0.1344018730245025,0.10080140476837686
2020-04-06/2020-04-12,4.958469101225394,4.737666024113712,2.184030436648165,0.24960347847407602,0.268803746049005,0.268803746049005
2020-04-13/2020-04-19,7.161699805448488,6.148885690870988,4.872067897138215,0.30240421430513054,0.36960515081738177,0.2352032777928793
2020-04-20/2020-04-26,7.838509237464733,7.89611004018952,9.441731579971298,0.3264045487737917,0.30240421430513054,0.30240421430513054
2020-04-27/2020-05-03,7.891309973295788,7.694507230652766,3.763252444686069,0.36960515081738177,0.36960515081738177,0.3360046825612562
2020-05-04/2020-05-10,9.350530308990386,9.307329706946797,4.435261809808582,0.6048084286102612,0.40320561907350744,1.07521498419602
2020-05-11/2020-05-17,8.582519605993228,7.828909103677269,5.8128810083097315,0.44160615422336524,0.43680608732963305,0.1680023412806281
2020-05-18/2020-05-24,9.42253131239637,8.73612174659266,4.569663682833084,0.49920695694815204,0.53760749209801,0.53760749209801
2020-05-25/2020-05-31,10.728149507491537,10.684948905447946,6.854495524249625,0.5232072914168132,0.5712079603541355,0.5712079603541355
