Week,Mean_cases_per_100k,Median_cases_per_100k,Mode_cases_per_100k,Mean_deaths_per_100k,Median_deaths_per_100k,Mode_deaths_per_100k
2020-01-20/2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27/2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03/2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10/2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17/2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24/2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02/2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09/2020-03-15,0.08856911351106156,0.0953821222426817,0.0,0.0,0.0,0.0
2020-03-16/2020-03-22,0.3542764540442463,0.3815284889707268,0.3815284889707268,0.0,0.0,0.0
2020-03-23/2020-03-29,1.1513984756438003,1.0968944057908394,0.8107480390627942,0.013626017463240242,0.0,0.0
2020-03-30/2020-04-05,2.6706994227950873,2.2414798727030196,2.2414798727030196,0.06813008731620121,0.04769106112134085,0.04769106112134085
2020-04-06/2020-04-12,4.2104393961412345,4.006049134192631,2.956845789523132,0.0953821222426817,0.04769106112134085,0.04769106112134085
2020-04-13/2020-04-19,4.094618247703692,4.149122317556653,0.0,0.1975772532169835,0.0953821222426817,0.0
2020-04-20/2020-04-26,5.988634675094086,6.629057495866377,0.0,0.2997723841912853,0.28614636672804505,0.28614636672804505
2020-04-27/2020-05-03,7.664634823072636,7.201350229322467,4.721415051012744,0.3474634453126262,0.3338374278493859,0.3338374278493859
2020-05-04/2020-05-10,6.77894368796202,7.201350229322467,4.053740195313972,0.340650436581006,0.4292195500920676,0.4292195500920676
2020-05-11/2020-05-17,5.307333801932074,6.390602190259673,0.0,0.3610894627758664,0.5246016723347493,0.5246016723347493
2020-05-18/2020-05-24,8.965919490812079,7.296732351565149,4.626032928770061,0.43603255882368774,0.3815284889707268,0.28614636672804505
2020-05-25/2020-05-31,5.10294353998347,5.246016723347493,3.147610034008496,0.26570734053318473,0.23845530560670422,0.23845530560670422
