"Label (Grouping)","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 29 years","SEX AND AGE!!Total population!!30 to 34 years","SEX AND AGE!!Total population!!35 to 39 years","SEX AND AGE!!Total population!!40 to 44 years","SEX AND AGE!!Total population!!45 to 49 years","SEX AND AGE!!Total population!!50 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 69 years","SEX AND AGE!!Total population!!70 to 74 years","SEX AND AGE!!Total population!!75 to 79 years","SEX AND AGE!!Total population!!80 to 84 years","SEX AND AGE!!Total population!!85 years and over"
"Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","3,104,614","174,032","192,429","205,184","195,339","193,741","215,742","220,392","215,050","198,544","196,639","197,540","200,856","190,666","170,721","144,856","95,214","54,966","42,703"
"    Percent","100.0%","5.6%","6.2%","6.6%","6.3%","6.2%","6.9%","7.1%","6.9%","6.4%","6.3%","6.4%","6.5%","6.1%","5.5%","4.7%","3.1%","1.8%","1.4%"
"Churchill County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","25,516","1,540","1,659","1,608","1,478","1,374","1,657","1,775","1,474","1,329","1,273","1,478","1,818","1,814","1,611","1,482","1,034","616","496"
"    Percent","100.0%","6.0%","6.5%","6.3%","5.8%","5.4%","6.5%","7.0%","5.8%","5.2%","5.0%","5.8%","7.1%","7.1%","6.3%","5.8%","4.1%","2.4%","1.9%"
"Clark County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","2,265,461","128,914","143,194","153,071","143,739","141,029","160,933","164,663","162,382","151,315","149,842","146,463","142,786","131,392","116,279","98,765","64,717","37,420","28,557"
"    Percent","100.0%","5.7%","6.3%","6.8%","6.3%","6.2%","7.1%","7.3%","7.2%","6.7%","6.6%","6.5%","6.3%","5.8%","5.1%","4.4%","2.9%","1.7%","1.3%"
"Douglas County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","49,488","1,806","2,248","2,582","2,481","1,644","1,870","2,413","2,508","2,334","2,486","2,930","4,102","4,900","4,905","4,261","2,952","1,663","1,403"
"    Percent","100.0%","3.6%","4.5%","5.2%","5.0%","3.3%","3.8%","4.9%","5.1%","4.7%","5.0%","5.9%","8.3%","9.9%","9.9%","8.6%","6.0%","3.4%","2.8%"
"Elko County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","53,702","3,956","4,305","4,599","3,753","3,240","3,784","3,966","3,732","3,203","3,086","3,238","3,462","3,226","2,381","1,660","1,072","605","434"
"    Percent","100.0%","7.4%","8.0%","8.6%","7.0%","6.0%","7.0%","7.4%","6.9%","6.0%","5.7%","6.0%","6.4%","6.0%","4.4%","3.1%","2.0%","1.1%","0.8%"
"Esmeralda County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","729","26","36","43","37","19","35","27","38","37","39","39","70","75","56","71","33","32","16"
"    Percent","100.0%","3.6%","4.9%","5.9%","5.1%","2.6%","4.8%","3.7%","5.2%","5.1%","5.3%","5.3%","9.6%","10.3%","7.7%","9.7%","4.5%","4.4%","2.2%"
"Eureka County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","1,855","84","119","151","78","55","96","125","101","124","108","96","170","141","146","125","73","26","37"
"    Percent","100.0%","4.5%","6.4%","8.1%","4.2%","3.0%","5.2%","6.7%","5.4%","6.7%","5.8%","5.2%","9.2%","7.6%","7.9%","6.7%","3.9%","1.4%","2.0%"
"Humboldt County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","17,285","1,109","1,344","1,341","1,160","913","1,135","1,217","1,179","1,002","1,007","1,021","1,167","1,172","978","669","426","256","189"
"    Percent","100.0%","6.4%","7.8%","7.8%","6.7%","5.3%","6.6%","7.0%","6.8%","5.8%","5.8%","5.9%","6.8%","6.8%","5.7%","3.9%","2.5%","1.5%","1.1%"
"Lander County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","5,734","382","414","409","358","259","368","403","368","298","334","379","453","406","352","221","191","82","57"
"    Percent","100.0%","6.7%","7.2%","7.1%","6.2%","4.5%","6.4%","7.0%","6.4%","5.2%","5.8%","6.6%","7.9%","7.1%","6.1%","3.9%","3.3%","1.4%","1.0%"
"Lincoln County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","4,499","264","273","313","338","196","222","256","232","250","246","231","288","322","338","291","193","154","92"
"    Percent","100.0%","5.9%","6.1%","7.0%","7.5%","4.4%","4.9%","5.7%","5.2%","5.6%","5.5%","5.1%","6.4%","7.2%","7.5%","6.5%","4.3%","3.4%","2.0%"
"Lyon County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","59,235","3,220","3,564","3,942","3,602","2,731","3,393","3,723","3,461","3,146","3,174","3,554","4,301","4,503","4,335","3,887","2,463","1,330","906"
"    Percent","100.0%","5.4%","6.0%","6.7%","6.1%","4.6%","5.7%","6.3%","5.8%","5.3%","5.4%","6.0%","7.3%","7.6%","7.3%","6.6%","4.2%","2.2%","1.5%"
"Mineral County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","4,554","265","291","235","192","195","243","276","258","245","195","251","331","422","340","313","214","167","121"
"    Percent","100.0%","5.8%","6.4%","5.2%","4.2%","4.3%","5.3%","6.1%","5.7%","5.4%","4.3%","5.5%","7.3%","9.3%","7.5%","6.9%","4.7%","3.7%","2.7%"
"Nye County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","51,591","2,184","2,260","2,461","2,421","2,148","2,279","2,389","2,427","2,409","2,545","3,155","4,101","4,750","5,005","4,630","3,353","1,858","1,216"
"    Percent","100.0%","4.2%","4.4%","4.8%","4.7%","4.2%","4.4%","4.6%","4.7%","4.7%","4.9%","6.1%","7.9%","9.2%","9.7%","9.0%","6.5%","3.6%","2.4%"
"Pershing County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","6,650","316","352","349","311","307","443","513","517","459","454","516","549","513","364","283","240","106","58"
"    Percent","100.0%","4.8%","5.3%","5.2%","4.7%","4.6%","6.7%","7.7%","7.8%","6.9%","6.8%","7.8%","8.3%","7.7%","5.5%","4.3%","3.6%","1.6%","0.9%"
"Storey County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","4,104","128","154","224","178","151","179","184","174","206","227","285","342","465","431","389","210","113","64"
"    Percent","100.0%","3.1%","3.8%","5.5%","4.3%","3.7%","4.4%","4.5%","4.2%","5.0%","5.5%","6.9%","8.3%","11.3%","10.5%","9.5%","5.1%","2.8%","1.6%"
"Washoe County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","486,492","26,482","28,656","29,927","31,543","35,853","34,811","33,996","31,860","28,336","27,774","29,682","31,997","31,551","28,552","23,926","15,288","8,830","7,428"
"    Percent","100.0%","5.4%","5.9%","6.2%","6.5%","7.4%","7.2%","7.0%","6.5%","5.8%","5.7%","6.1%","6.6%","6.5%","5.9%","4.9%","3.1%","1.8%","1.5%"
"White Pine County, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","9,080","514","525","555","486","482","664","672","632","567","518","515","621","647","574","412","312","201","183"
"    Percent","100.0%","5.7%","5.8%","6.1%","5.4%","5.3%","7.3%","7.4%","7.0%","6.2%","5.7%","5.7%","6.8%","7.1%","6.3%","4.5%","3.4%","2.2%","2.0%"
"Carson City, Nevada","","","","","","","","","","","","","","","","","","",""
"    Count","58,639","2,842","3,035","3,374","3,184","3,145","3,630","3,794","3,707","3,284","3,331","3,707","4,298","4,367","4,074","3,471","2,443","1,507","1,446"
"    Percent","100.0%","4.8%","5.2%","5.8%","5.4%","5.4%","6.2%","6.5%","6.3%","5.6%","5.7%","6.3%","7.3%","7.4%","6.9%","5.9%","4.2%","2.6%","2.5%"
